HUVUDMANNATYP|ORGANISATIONSNR|LÄN|LÄNSNAMN|KOMMUN|KOMMUNNAMN|SKOLENHETSKOD|NAMN|ADRESS|POSTNR|POSTORT|BESÖKSADRESS|BESÖKSPOSTNR|BESÖKSPOSTORT|TELENR|WEBB|EPOST|HUVUDMANS NAMN|REKTORS NAMN|BARN- O FRITIDSPROGRAMMET|BYGG- O ANL. PROGRAMMET|EL- O ENERGIPROGRAMMET|FORDONS- O TRANSP. PROGRAMMET|HANDELS O ADM. PROGRAMMET|HANTVERKSPROGRAMMET|HOTELL O TURISMPROGRAMMET|INDUSTRITEKNISKA PROGRAMMET|NATURBRUKSPROGRAMMET|REST.- O LIVSMEDELSPROGRAMMET|VVS O FASTIGHETSPROGRAMMET|VÅRD O OMSORGSPROGRAMMET|EKONOMIPROGRAMMET|ESTETISKA PROGRAMMET|HUMANISTISKA PROGRAMMET|NATURVETENSKAPSPROGRAMMET|SAMHÄLLSVETENSKAPPROGRAMMET|TEKNIKPROGRAMMET|PREPARANDUTBILDNING|PROGRAMINRIKTAT IND. VAL|INDIVIDUELLT ALTERNATIV|SPRÅKINTRODUKTION|YRKESINTRODUKTION|FLYGTEKNIKUTBILDNINGEN|MARINTEKNIKUTBILDINGEN|SJÖFARTSUTBILDNINGEN|TÅGTEKNIKUTBILDNINGEN|UTBILDNINGEN SAMISKA NÄRINGAR|YRKESDANSARUTBILDNINGEN|VIDAREUTBILDING I FORM FJÄRDE TEKNISKT ÅR|ENDAST INTRODUKTIONSPROGRAM|ELEVER BARN O FRITID|ELEVER BYGG O ANL|ELEVER EL O ENERGI|ELEVER FORDON O TRANSP|ELEVER HANDEL O ADM|ELEVER HANTVERK|ELEVER HOTELL O TURISM|ELEVER INDUSTRITEKNISK|ELEVER NATURBRUK|ELEVER REST O LIVSMEDEL|ELEVER VVS O FASTIGHET|ELEVER VÅRD O OMSORG|TOTALT ANTAL ELEVER RIKSREKRYT UTB|ELEVER EKONOMI|ELEVER ESTETISK|ELEVER HUMANISTISK|ELEVER NATURVETENSKAP|ELEVER SAMHÄLLSVETENSKAP|ELEVER TEKNIK|ELEVER IB|ELEVER INTRO PREPARAND|ELEVER INTRO PROGRAMINR INDIVID|ELEVER YRKESINTRO|ELEVER INTRO INDIVID|ELEVER SPRÅKINTRO|TOTALT ANTAL ELEVER INTRODUKTIONSPROGRAM|ELEVER FLYGTEKNIKUTBILDNING|ELEVER MARINTEKNIKUTBILDNING|ELEVER SJÖFARTSUTBILDNING|ELEVER TÅGTEKNIKUTBILDNING|ELEVER UTB SAMISKA NÄRINGAR|ELEVER YRKESDANSARUTB|ELEVER VIDAREUTB FJÄRDE TEKNISKT ÅR|ELEVER TOTALT|INRIKTNING|JURIDISK FORM
Enskild|5563836757|01|Stockholms län|0120|Värmdö|34002355|Värmdö Tekniska gymnasieskola|Edla Sofias gata 15|13450|GUSTAVSBERG|Edla Sofias gata 15|13450|GUSTAVSBERG|08-40028980|http://www.vtg.nu|info@vtg.nu|VÄRMDÖ TEKNISKA UTBILDNINGAR AKTIEBOLAG, VTU|Anne Söderström|N|J|J|J|N|J|N|N|N|N|J|N|N|N|N|N|N|J|J|J|J|J|J|N|N|N|N|N|N|N|N|0|22|34|46|0|4|0|0|0|0|29|0|0|0|0|0|0|0|2|0|2|19|30|3|12|66|0|0|0|0|0|0|0|203|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5564732856|01|Stockholms län|0123|Järfälla|85214294|Didaktus Jakobsberg|Järfällavägen 106|17741|JÄRFÄLLA|Järfällavägen 106|17741|JÄRFÄLLA|08-58083080|http://www.didaktus.se|jakobsberg@didaktus.se|DIDAKTUS SKOLOR AB|Pia Johansson|J|N|N|N|N|N|N|N|N|N|N|J|N|N|N|J|J|N|J|J|J|N|J|N|N|N|N|N|N|N|N|37|0|0|0|0|0|0|0|0|0|0|34|0|0|0|0|21|50|0|0|0|51|65|3|0|119|0|0|0|0|0|0|0|261|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120000043|01|Stockholms län|0123|Järfälla|82084961|Järfälla gymnasium|Mälarvägen 2|17742|JÄRFÄLLA|Mälarvägen 2|17742|JÄRFÄLLA|08-58028308|http://www.jarfalla.se|monika.froberg@jarfalla.se|JÄRFÄLLA KOMMUN|Monika Fröberg|J|J|J|N|J|N|N|N|N|N|J|N|J|J|N|J|J|J|J|J|J|J|J|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||Kommuner
Kommunal|2120000043|01|Stockholms län|0123|Järfälla|23849498|Järfälla Vägledningsc. IMIND|Järfällavägen 102-104|17741|JÄRFÄLLA|Järfällavägen 102-104|17741|JÄRFÄLLA|08-58028500|http://www.jarfalla.se|vuxenutbildning@jarfalla.se|JÄRFÄLLA KOMMUN|Carin Dahlin|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|J|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|19|0|19|0|0|0|0|0|0|0|19||Kommuner
Kommunal|2120000050|01|Stockholms län|0125|Ekerö|55711881|Individuella Gymnasiet|Box 205|17823|EKERÖ|Fredrikstrandsvägen 2 A|17831|EKERÖ|08-12457272|http://www.ekero.se/ivg|rolf.sorman@skolor.ekero.se|EKERÖ KOMMUN|Rolf Sörman|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|J|N|J|J|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|0|2|5|14|26|0|0|0|0|0|0|0|26||Kommuner
Kommunal|2120000068|01|Stockholms län|0126|Huddinge|49862313|Huddingegymnasiet||14185|HUDDINGE|Gymnasievägen 3|14138|HUDDINGE|08-53537301|http://www.huddingegymnasiet.se|huddingegymnasiet@huddinge.se|HUDDINGE KOMMUN|Johansson, Mats|N|N|N|N|N|N|N|N|N|N|N|N|J|N|N|J|J|J|J|N|J|J|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|73|0|0|78|191|25|0|1|0|0|19|89|109|0|0|0|0|0|0|0|476||Kommuner
Enskild|5565970471|01|Stockholms län|0126|Huddinge|99838438|IT-Gymnasiet Södertörn|Box 4088|14104|HUDDINGE|Röntgenvägen 9|14152|HUDDINGE|08-55640850|http://www.it-gymnasiet.se|info.sodertorn@it-gymnasiet.se|IT Gymnasiet Sverige AB|Jens Printz|N|N|J|N|N|N|N|N|N|N|N|N|N|J|N|N|J|J|N|N|N|N|N|N|N|N|N|N|N|N|N|0|0|73|0|0|0|0|0|0|0|0|0|0|0|25|0|0|37|144|0|0|0|0|0|0|0|0|0|0|0|0|0|0|279|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120000068|01|Stockholms län|0126|Huddinge|42859669|Sjödalsgymnasiet||14185|HUDDINGE|Paradistorget 4|14252|HUDDINGE|08-53537000|http://www.sjodalsgymnasiet.se|sjodalsgymnasiet@huddinge.se|HUDDINGE KOMMUN|Thun, Krister|N|N|J|N|J|J|N|N|N|N|J|N|J|N|N|J|J|J|N|N|N|N|N|N|N|N|N|N|N|N|N|0|0|96|0|14|37|0|0|0|0|83|0|0|187|0|0|146|263|84|0|0|0|0|0|0|0|0|0|0|0|0|0|0|910||Kommuner
Kommunal|2120000068|01|Stockholms län|0126|Huddinge|70923626|Sågbäcksgymnasiet||14185|HUDDINGE|Huddingevägen 352|14148|HUDDINGE|08-53530460|http://www.sagbacksgymnasiet.se|sagbacksgymnasiet@huddinge.se|HUDDINGE KOMMUN|Hedman, Åsa|J|J|N|J|N|J|J|N|N|J|N|J|N|N|N|N|N|N|J|J|J|J|J|N|N|N|N|N|N|N|N|83|110|0|40|0|1|31|0|0|26|0|38|0|0|0|0|0|0|0|0|15|99|65|28|65|272|0|0|0|0|0|0|0|601||Kommuner
Enskild|5566139290|01|Stockholms län|0126|Huddinge|92905347|Yrkesgymnasiet Huddinge|Regulatorvägen 21|14149|HUDDINGE|Regulatorvägen 221|14149|HUDDINGE|08-12204460|http://www.yrkesgymnasiet.se|huddinge@yrkesgymnasiet.se|THORENGRUPPEN AB|Pär Ängberg|N|J|J|J|J|J|N|J|N|N|J|J|N|N|N|N|N|N|N|J|N|N|J|N|N|N|N|N|N|N|N|0|26|23|22|18|11|0|11|0|0|30|13|0|0|0|0|0|0|0|0|0|21|16|0|0|37|0|0|0|0|0|0|0|191|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120000068|01|Stockholms län|0126|Huddinge|99592025|Östra gymnasiet|Kvartettvägen 2|14263|TRÅNGSUND|Kvartettvägen 2|14263|TRÅNGSUND|08-53536140|http://www.ostragymnasiet.se|info@ostragymnasiet.se|HUDDINGE KOMMUN|Stefan Wilkman|N|N|J|N|N|N|N|N|N|N|N|N|J|N|N|J|J|J|N|N|N|J|N|N|N|N|N|N|N|N|N|0|0|39|0|0|0|0|0|0|0|0|0|0|171|0|0|173|186|145|0|0|0|0|0|62|62|0|0|0|0|0|0|0|776||Kommuner
Enskild|5567538383|01|Stockholms län|0127|Botkyrka|53400472|Gullviva gymnasiet|Römossevägen 25|14631|TULLINGE|Römossevägen 25|14631|TULLINGE|08-6073560|http://www.gullvivagymnasium.se|info@gullvivagymnasium.se|STEG för framtiden Aktiebolag|adam sahin|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|J|J|N|J|N|N|J|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|61|6|0|0|4|0|0|0|2|6|0|0|0|0|0|0|0|73|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120002882|01|Stockholms län|0127|Botkyrka|97758137|S:t Botvids gymnasium|Tomtbergavägen 10|14567|NORSBORG|Tomtbergavägen 10|14567|NORSBORG|08-53062444|http://www.stbotvidsgymnasium.se|stbotvidsgymnasium@botkyrka.se|BOTKYRKA KOMMUN|Malin Winblad|N|N|N|N|J|J|N|N|N|N|N|N|J|J|N|J|J|N|J|J|J|J|J|N|N|N|N|N|N|N|N|0|0|0|0|0|10|8|0|0|0|0|0|0|57|59|0|62|55|0|0|14|15|9|2|219|259|0|0|0|0|0|0|0|510||Kommuner
Kommunal|2120002882|01|Stockholms län|0127|Botkyrka|26334561|Tullinge gymnasium|Alfred Nobels Allé 206|14680|TULLINGE|Alfred Nobels Allé 206|14648|TULLINGE|08-53063516|http://www.tullingegymnasium.se|tullingegymnasium@botkyrka.se|BOTKYRKA KOMMUN|Lennart Gudmark|N|N|N|N|N|N|N|N|N|N|N|J|J|N|N|J|J|J|N|J|N|J|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|66|0|89|0|0|248|249|0|0|0|4|0|0|0|4|0|0|0|0|0|0|0|656||Kommuner
Kommunal|2120002882|01|Stockholms län|0127|Botkyrka|40386043|Tumba gymnasium|Utbildningsvägen 2|14740|TUMBA|Utbildningsvägen 2|14740|TUMBA|08-53061561|http://www.tumbagymnasium.se|tumbagymnasium@botkyrka.se|BOTKYRKA KOMMUN|Alf Solander|J|J|J|J|N|N|N|N|N|J|N|N|J|J|J|J|J|J|J|J|J|J|J|N|N|N|N|N|N|J|N|29|35|81|46|0|0|0|0|0|22|0|0|0|222|200|50|93|141|103|0|30|21|11|34|13|109|0|0|0|0|0|0|0|1131||Kommuner
Kommunal|2120002874|01|Stockholms län|0128|Salem|98908403|Rönninge gymnasium|Sandbäcksvägen 10|14462|RÖNNINGE|Sandbäcksvägen 10|14462|RÖNNINGE|08-53259503|http://www.gymnasiet.salem.se|Gymnasiet@salem.se|SALEMS KOMMUN|Katarina Sweding|J|J|N|N|N|N|N|N|N|N|N|N|J|N|N|J|J|J|N|J|N|N|J|N|N|N|N|N|N|N|N|40|38|0|0|0|0|0|0|0|0|0|0|0|173|0|0|91|196|45|0|0|1|6|0|0|7|0|0|0|0|0|0|0|590||Kommuner
Landsting|2321000016|01|Stockholms län|0136|Haninge|38448056|Berga naturbruksgymnasium|Berga skolväg 1|13791|VÄSTERHANINGE|Berga skolväg 1|13791|VÄSTERHANINGE|08-50066000|http://www.bergagymnasium.se|info.berga@sll.se|STOCKHOLMS LÄNS LANDSTING|Lave Tufvesson|N|N|N|N|N|N|N|N|J|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|82|0|0|0|0|0|0|0|0|0|0|0|0|0|17|0|0|17|0|0|0|0|0|0|0|99||Landsting
Kommunal|2120000084|01|Stockholms län|0136|Haninge|16313848|Fredrika Bremergymnasiet |Haninge kommun|13681|HANINGE|Dalarövägen 64|13646|HANDEN|08-6067777|http://www.haninge.se/sv/Specialwebbar/GYMNASIUM/Fredrika-Bremergymnasierna/|fredrika@haninge.se|HANINGE KOMMUN|Robert Aspfors|J|J|J|J|N|N|N|J|N|N|J|J|N|J|N|J|J|J|J|J|J|J|J|N|N|N|N|N|N|N|N|150|0|0|0|0|0|0|0|0|0|0|78|0|0|142|0|197|499|261|0|18|2|64|11|0|95|0|0|0|0|0|0|0|1422||Kommuner
Kommunal|2120000084|01|Stockholms län|0136|Haninge|79606767|Riksäpplet|Haninge kommun|13681|HANINGE|Marinens väg 30|13640|HANDEN|08-6068067|http://haninge.se/forskola-och-skola/gymnasieskola/|riksapplet@haninge.se|HANINGE KOMMUN|Annika Setterquist|N|N|N|N|J|N|N|N|N|J|N|N|J|N|N|N|N|N|J|J|J|J|J|N|N|N|N|N|N|N|N|0|0|0|0|86|0|0|0|0|43|0|0|0|155|0|0|0|0|0|0|2|11|34|48|172|267|0|0|0|0|0|0|0|551||Kommuner
Kommunal|2120000092|01|Stockholms län|0138|Tyresö|91048178|Tyresö Gymnasium 1|Farmarstigen 7|13536|TYRESÖ|Farmarstigen 7|13536|TYRESÖ|08-57829940|http://www.tyreso.se|gymnasium@tyreso.se|TYRESÖ KOMMUN|Lena Beskow|N|J|J|J|N|J|J|N|N|N|N|N|N|N|N|J|J|J|J|J|J|J|J|N|N|N|N|N|N|N|N|0|36|120|32|0|29|46|0|0|0|0|0|0|0|0|0|10|44|49|0|1|22|8|32|53|116|0|0|0|0|0|0|0|482||Kommuner
Kommunal|2120000100|01|Stockholms län|0139|Upplands-Bro|53923398|Upplands-Brogymnasiet|Skolvägen 24|19634|KUNGSÄNGEN|Skolvägen 24|19634|KUNGSÄNGEN|08-58169287|http://www.edu.upplands-bro.se/ubg|info_ubg@edu.upplands-bro.se|UPPLANDS-BRO KOMMUN|Ulf Peterson|N|J|N|J|J|N|N|N|N|N|N|N|J|J|N|J|J|J|N|N|J|J|J|N|N|N|N|N|N|N|N|0|37|0|125|72|0|0|0|0|0|0|0|0|118|44|0|80|168|81|0|0|0|2|3|64|69|0|0|0|0|0|0|0|794||Kommuner
Enskild|5562575786|01|Stockholms län|0140|Nykvarn|53180719|Praktiska Nykvarn|Norra Bruksgatan 2|15533|NYKVARN|Norra Bruksgatan 2|15533|NYKVARN|08-55242550|http://www.praktiska.se|alice.horsman@vindora.se|Praktiska Sverige AB|Alice Horsman|N|J|J|J|J|J|J|J|J|N|J|J|N|N|N|N|N|N|N|J|N|N|J|N|N|N|N|N|N|N|N|0|19|20|28|19|26|8|10|1|0|29|9|0|0|0|0|0|0|0|0|0|18|29|0|0|47|0|0|0|0|0|0|0|216|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5567797831|01|Stockholms län|0160|Täby|82718660|Mimers Gymnasium Täby|Enhagsslingan 5|18740|TÄBY|Enhagsslingan 5|18740|TÄBY|08-12204040|http://www.mimersgymnasium.se|info@mimersgymnasium.se|Adinova AB|Adrienne Varkonyi|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|J|J|N|J|N|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|12|35|0|0|9|0|0|0|0|9|0|0|0|0|0|0|0|56|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5562575786|01|Stockholms län|0160|Täby|76942525|Praktiska Täby|Kemistvägen 10 A|18379|TÄBY|Kemistvägen 10 A|18379|TÄBY|070-6467877|http://www.praktiska.se|asa.Brattlund@vindora.se|Praktiska Sverige AB|Åsa Brattlund|N|J|J|N|J|J|J|N|J|N|N|N|N|N|N|N|N|N|N|J|N|N|J|N|N|N|N|N|N|N|N|0|2|12|0|35|4|7|0|9|0|0|0|0|0|0|0|0|0|0|0|0|17|3|0|0|20|0|0|0|0|0|0|0|89|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5567875413|01|Stockholms län|0160|Täby|12399380|Sparre Gymnasium|Stockholmsvägen 116 C|18730|TÄBY|Stockholmsvägen 116 C|18730|TÄBY|073-0808248|http://www.sparregymnasium.se|skolan@sparregymnasium.se|Upplevelse Utbildning i Täby AB|Kee Tan|N|N|N|N|N|N|N|N|N|N|N|N|J|N|N|N|J|N|N|N|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|27|0|0|0|27|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|54|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5566978556|01|Stockholms län|0160|Täby|31486865|Tibble Fristående Gymnasium|Box 151, TFG AB|18322|TÄBY|Attundavägen 1|18334|TÄBY|08-52282700|http://www.tibble.nu|info@tibble.nu|Tibble Fristående Gymnasium TFG AB|Håkan Söderström|J|N|N|N|N|N|N|N|N|N|N|N|J|J|J|J|J|J|N|N|N|N|N|N|N|N|N|N|N|N|N|90|0|0|0|0|0|0|0|0|0|0|0|0|324|162|18|78|269|48|0|0|0|0|0|0|0|0|0|0|0|0|0|0|989|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5565680112|01|Stockholms län|0160|Täby|97265732|Täby Enskilda gymnasium|Box 2800|18728|TÄBY|Kemistvägen 1|18379|TÄBY|08-7322100|http://www.tabyenskilda.se|reception@tabyenskilda.se|TÄBY ENSKILDA GYMNASIUM AB|Jan Liljegren|N|N|N|N|N|N|N|N|N|N|N|N|J|J|N|J|J|J|N|N|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|183|128|0|176|203|51|0|0|0|0|0|0|0|0|0|0|0|0|0|0|741|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
