HUVUDMANNATYP|ORGANISATIONSNR|LÄN|LÄNSNAMN|KOMMUN|KOMMUNNAMN|SKOLENHETSKOD|NAMN|ADRESS|POSTNR|POSTORT|BESÖKSADRESS|BESÖKSPOSTNR|BESÖKSPOSTORT|TELENR|WEBB|EPOST|HUVUDMANS NAMN|REKTORS NAMN|JURIDISK FORM
Kommunal|2120000183|01|Stockholms län|0184|Solna|74830111|Folkuniversitetet SFI Solna|Box 6901|10239|STOCKHOLM|Kungstensgatan 45|11359|STOCKHOLM|08-7342000|http://www.folkuniversitetet.se/vux|direkt@folkuniversitetet.se|SOLNA KOMMUN|Vakant|Kommuner
Kommunal|2120000183|01|Stockholms län|0184|Solna|99551289|Solna vuxenutbildning SFI|Solna stad|17186|SOLNA|Stadshusgången 6|17186|SOLNA|08-7461000|http://www.solna.se/vux|malin.ekenstierna@solna.se|SOLNA KOMMUN|Natalia Gura|Kommuner
Kommunal|2120000191|01|Stockholms län|0186|Lidingö|20254204|Lidingö komvux SFI|Läroverksvägen 56|18140|LIDINGÖ|Läroverksvägen 56|18140|LIDINGÖ|08-7313916|http://www.lidingo.se/vuxenutbildningen|vuxenutbildning@lidingo.se|LIDINGÖ KOMMUN|Eva-Lotta Arenander|Kommuner
Kommunal|2120000217|01|Stockholms län|0188|Norrtälje|28207453|Norrtälje kom. vuxenutb. SFI|Box 803|76128|NORRTÄLJE|Astrid Lindgrens gata 2 A|76146|NORRTÄLJE|0176-71936|http://www.norrtalje.se|nkv@norrtalje.se|NORRTÄLJE KOMMUN|Lena Nordström|Kommuner
Kommunal|2120000225|01|Stockholms län|0191|Sigtuna|20159722|Centrum Vuxenutveckling SFI|Sigtuna kommun|19585|MÄRSTA|Vikingavägen 2|19551|MÄRSTA|08-59783062|http://www.sigtuna.se|centrumvux@sigtuna.se|SIGTUNA KOMMUN|Maryam Barkadehi |Kommuner
Kommunal|2120000225|01|Stockholms län|0191|Sigtuna|98125448|Externanordnare 1, SFI|Maskingatan 3, 2 tr|19560|ARLANDASTAD|Maskingatan 3, 2 tr|19560|ARLANDASTAD|08-59783042|http://www.sigtuna.se/Barn--Utbildning/Vuxenutbildning/Centrum-for-Vuxenutveckling/|yvonne.strom-rapp@sigtuna.se|SIGTUNA KOMMUN|Roberto Ghisler|Kommuner
Kommunal|2120000233|01|Stockholms län|0192|Nynäshamn|19544781|NKC SFI|Nynäshamns kommun|14981|NYNÄSHAMN|Idunvägen 1|14931|NYNÄSHAMN|08-52068091|http://www.nynashamn.se/nkc|Madeleine.Alsterqvist@nynashamn.se|NYNÄSHAMNS KOMMUN|Anna Eriksson|Kommuner
Kommunal|2120000241|03|Uppsala län|0305|Håbo|16546407|Fridegårdsgymnasiet- SFI|Håbo kommun|74680|BÅLSTA|Centrumleden, Bålsta centrum|74632|BÅLSTA|0171-53840|http://www.fridegardsgymnasiet.se|fridegard@edu.habo.se|HÅBO KOMMUN|Catharina Wakim|Kommuner
Kommunal|2120000258|03|Uppsala län|0319|Älvkarleby|47758313|Komvux SFI|Box 4|81421|SKUTSKÄR|Centralgatan 10 a|81440|SKUTSKÄR|026-83255|http://www.alvkarleby.se|karin.hagman@alvkarleby.se|ÄLVKARLEBY KOMMUN|EvaBritt Säfström|Kommuner
Kommunal|2120003013|03|Uppsala län|0330|Knivsta|35654532|Vuxenutbildningen|Knivsta Kommun|74175|KNIVSTA|Valloxvägen 2|74142|KNIVSTA|018-347125|http://www.knivsta.se|knivsta@knivsta.se|KNIVSTA KOMMUN|Tomas Henriksson|Kommuner
Kommunal|2120002049|03|Uppsala län|0331|Heby|81821453|CLL/SFI|Heby kommun|74488|HEBY|Norra Järnvägsgatan 2|74432|HEBY|0224-36086|http://www.heby.se/cll|information@heby.se|HEBY KOMMUN|Annie Rahlgård / Eva Bergstöm|Kommuner
Kommunal|2120000266|03|Uppsala län|0360|Tierp|85767343|Vuxenutbilningen, SFI||81580|TIERP|Palmgatan 11|81538|TIERP|0293-218368|http://www.tierp.se|vuxenutbildningen@tierp.se|TIERPS KOMMUN|Carina Rudolph Lundberg|Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|98287275|AB AlphaCE Coaching & Education|UAK, Navet utbildning|75375|UPPSALA|Bredgränd 5|75320|UPPSALA|010-3309903|http://www.uppsala.se|cecilia.halling@alphace.se|UPPSALA KOMMUN|Ulrika Lundquist|Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|98546787|Astar|UAK, Navet utbildning|75375|UPPSALA|S:t Olofsgatan 9A|75321|UPPSALA|0702-611379|http://www.uppsala.se|johanna.jacobsson@astar.se|UPPSALA KOMMUN|Ulrika Lundquist|Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|10129649|Extern vuxenutbildning|Arbetsmarknadsförvaltningen, Navet|75375|UPPSALA|Kungsgatan 85|75318|UPPSALA|018-7278637|http://www.uppsala.se|arbetsmarknadsforvaltningen@uppsala.se|UPPSALA KOMMUN|Satu Molander|Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|10078504|Folkuniversitetet Mitt|UAK, Navet utbildning|75375|UPPSALA|Bergsbrunnagatan 1|75323|UPPSALA|018-680000|http://www.uppsala.se|info@folkuniversitetet.se|UPPSALA KOMMUN|Ulrika Lundquist|Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|83919903|Hermods SFI|UAK, Navet utbildning|75375|UPPSALA|Sturegatan 9|75314|UPPSALA|08-41025139|http://www.hermods.se|sfiuppsala@hermods.se|UPPSALA KOMMUN|Ulrika Lundquist|Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|13943026|Lernia SFI|UAK, Navet utbildning|75375|UPPSALA|St Persgatan 22B|75329|UPPSALA|018-185700|http://www.lernia.se|uppsala.sfi@lernia.se|UPPSALA KOMMUN|Ulrika Lundquist|Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|39020296|Vuxenutbildningen Linné SFI 1 och SFI 2|Västra Strandgatan 11|75311|UPPSALA|Västra Strandgatan 11|75311|UPPSALA|018-7274900|http://www.uppsala.se |linne.exp@uppsala.se|UPPSALA KOMMUN|Jesper Hedin|Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|27500386|Vuxenutbildningen Linné SFI 3 och SVA|Uppsala kommun|75375|UPPSALA|Västra Strandgatan 11|75311|UPPSALA|018-7274900|http://www.uppsala.se|linne.exp@uppsala.se|UPPSALA KOMMUN|Anneli Sahlin|Kommuner
Enskild|5566753736|03|Uppsala län|0380|Uppsala|39147056|Yrkesplugget Uppsala|Kungsgatan 66|75318|UPPSALA|Kungsgatan 66|75318|UPPSALA|018-4188630|http://www.yrkesplugget.se|uppsala@yrkesplugget.se|Yrkesplugget i Sverige AB|Björn Wallqvist|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120000282|03|Uppsala län|0381|Enköping|68548989|Kommunal vuxenutbildning|Box 921|74525|ENKÖPING|Korsängsgatan 12|74535|ENKÖPING|0171-625404|http://www.komvux.enkoping.se|exp@komvux.enkoping.se|ENKÖPINGS KOMMUN|Ulrika Rongelid|Kommuner
Kommunal|2120000290|03|Uppsala län|0382|Östhammar|42283307|SFI|Box 42|74702|GIMO|Gymnasievägen 1|74293|GIMO|0173-86600|http://www.osthammar.se/vuxenutbildning|vuxenutbildningen@osthammar.se|ÖSTHAMMARS KOMMUN|Jan Lind|Kommuner
Kommunal|2120002965|04|Södermanlands län|0461|Gnesta|63914267|Utbildningscentrum/SFI|Utbildningscentrum|64680|GNESTA|Åsgatan 13|64632|GNESTA|0158-275653|http://www.gnesta.se|gnesta.kommun@gnesta.se|GNESTA KOMMUN|Helene Pettersson|Kommuner
Kommunal|2120002940|04|Södermanlands län|0480|Nyköping|53076982|Komvux, SFI|Nyköpings kommun|61183|NYKÖPING|Stora Torget 7|61132|NYKÖPING|0155-248785|http://www.campusnykoping.se|info@campusnykoping.se|NYKÖPINGS KOMMUN|Björn Littmarck|Kommuner
Kommunal|2120000324|04|Södermanlands län|0481|Oxelösund|85047810|Campus Oxelösund SFI||61381|OXELÖSUND|Oxelögatan 24|61333|OXELÖSUND|0155-38636|http://www.oxelosund.se|campus@oxelosund.se|OXELÖSUNDS KOMMUN|Morgan Andersson|Kommuner
Kommunal|2120000332|04|Södermanlands län|0482|Flen|93187037|Flen komvux, SFI||64281|FLEN|Drottninggatan 24|64237|FLEN|0157-430911|http://www.flen.se|elevservice@vux.flen.se|FLENS KOMMUN|Anna-Lena Karlsson|Kommuner
Kommunal|2120000340|04|Södermanlands län|0483|Katrineholm|13987138|Viadidakt/SFI, Katrineholm|Drottninggatan 18|64180|KATRINEHOLM|Drottninggatan 18|64180|KATRINEHOLM|0150-57052|http://www.viadidakt.se|info@viadidakt.se|KATRINEHOLMS KOMMUN|Birgitta Åberg Andersson|Kommuner
Kommunal|2120000357|04|Södermanlands län|0484|Eskilstuna|39433335|Komvux, SFI|Arb.marknad- o familjeförvalt.|63186|ESKILSTUNA|Gamla Tullgatan 1|63220|ESKILSTUNA|016-7102903|http://www.eskilstuna.se/komvux|pernilla.lindstrom7@eskilstuna.se|ESKILSTUNA KOMMUN|Vakant|Kommuner
Kommunal|2120000365|04|Södermanlands län|0486|Strängnäs|48787682|Vuxenutbildningen i Strängnäs, SFI|Strängnäs kommun,Vuxenutbildningen|64580|STRÄNGNÄS|Campus Strängnäs|64533|STRÄNGNÄS|0152-29521|http://www.strangnas.se/vuxenutbildning|vuxenutbildning@strangnas.se|STRÄNGNÄS KOMMUN|Mikael Van Lunssen|Kommuner
Kommunal|2120002957|04|Södermanlands län|0488|Trosa|79187561|Vuxenutbildning Trosa|Skolkontoret|61980|TROSA|Skolvägen 1|61073|VAGNHÄRAD|0156-52365|http://trosa.se|anneli.eriksson@trosa.se|TROSA KOMMUN|Mats Larsson|Kommuner
Kommunal|2120000373|05|Östergötlands län|0509|Ödeshög|58756259|Komvux, SFI|Stora Torget 3|59980|ÖDESHÖG|Storgatan 16|59931|ÖDESHÖG|0144-35064|http://www.odeshog.se|ingmar.unosson@odeshog.se|ÖDESHÖGS KOMMUN|Richard Weibull|Kommuner
Kommunal|2120000399|05|Östergötlands län|0513|Kinda|40252965|Kinda Lärcentrum, SFI|Storgatan 9|59038|KISA|Storgatan 9|59038|KISA|0494-19424|http://www.kinda.se|karl-erik.eriksson@kinda.se|KINDA KOMMUN|Karl-Erik Eriksson|Kommuner
Kommunal|2120000415|05|Östergötlands län|0561|Åtvidaberg|52113668|Bild.centrum Facetten 1/SFI|Gamla Torget 1|59730|ÅTVIDABERG|Gamla Torget 1 B|59730|ÅTVIDABERG|0120-83372|http://www.atvidaberg.se|kommun@atvidaberg.se|ÅTVIDABERGS KOMMUN|Dan Forsberg|Kommuner
Kommunal|2120000423|05|Östergötlands län|0562|Finspång|78397545|Finspångs vuxenutb.center SFI|Ekmans väg 12|61236|FINSPÅNG|Ekmans väg 12|61241|FINSPÅNG|0122-85520|http://www.finspang.se|vuxenutbildningscentrum@finspang.se|FINSPÅNGS KOMMUN|Lise-Lotte Larstén|Kommuner
Kommunal|2120000423|05|Östergötlands län|0562|Finspång|17643936|Nya Bergska väst|Ekmans väg 12|61236|FINSPÅNG|Ekmans väg 12|61236|FINSPÅNG|0122-85538|http://www.nyabergska.se|bergska.skolan@finspang.se|FINSPÅNGS KOMMUN|Elisabet Rehn|Kommuner
Kommunal|2120000449|05|Östergötlands län|0580|Linköping|18585239|Birgittaskolans vuxenutbildning SFI|Klostergatan 49|58181|LINKÖPING|Klostergatan 49|58181|LINKÖPING|013-207800|http://www.linkoping.se/komvux|komvux@linkoping.se|LINKÖPINGS KOMMUN|Ola Nilsson|Kommuner
Kommunal|2120000449|05|Östergötlands län|0580|Linköping|86784996|Jobb- och kunskapstorget|Linköpings kommun|58181|LINKÖPING|Nygatan 19|58219|LINKÖPING|013-205631|http://www.linkoping.se/kunskapstorget|kunskapstorget@linkoping.se|LINKÖPINGS KOMMUN|Vivica Ekedal|Kommuner
Kommunal|2120000456|05|Östergötlands län|0581|Norrköping|99338559|Komvux SFI, S:t Olofskolan 3|Skolgatan 7|60225|NO|Skolgatan 7|60225|NORRKÖPING|011-153378|http://www.komvux.norrkoping.se|komvux@norrkoping.se|NORRKÖPINGS KOMMUN|Pia Wallin|Kommuner
Kommunal|2120000456|05|Östergötlands län|0581|Norrköping|25194219|Komvux SFI, S:t Olofsskolan 1|Skolgatan 7|60225|NORRKÖPING|Skolgatan 7|60225|NORRKÖPING|011-153378|http://www.komvux.norrkoping.se|komvux@norrkoping.se|NORRKÖPINGS KOMMUN|Anders Frick|Kommuner
Kommunal|2120000456|05|Östergötlands län|0581|Norrköping|43138347|Komvux SFI, S:t Olofsskolan 2|Skolgatan 7|60225|NORRKÖPING|Skolgatan 7|60354|NORRKÖPING|011-153378|http://www.komvux.norrkoping.se|komvux@norrkoping.se|NORRKÖPINGS KOMMUN|Margareta Nilsson|Kommuner
Enskild|8250002576|05|Östergötlands län|0581|Norrköping|59556404|Marieborgs folkhögskola SFI|Box 724|60116|NORRKÖPING|Box 724|60116|NORRKÖPING||http://www.marieborg.net|info@marieborg.net|MARIEBORGS FOLKHÖGSKOLA. FÖRENING|Jerry Wiklund|Ideella föreningar
Kommunal|2120002817|05|Östergötlands län|0583|Motala|41025342|Vuxenutbildningen SFI|Box 955|59129|MOTALA|Smålandsgatan 2|59160|MOTALA|0141-225997|http://www.motala.se|vuxenutbildning@motala.se|MOTALA KOMMUN|Nicklas Helander|Kommuner
Kommunal|2120000480|05|Östergötlands län|0586|Mjölby|13706881|Mjölby gymnasium, vuxenutbildningen|Mjölby kommun|59580|MJÖLBY|Industrigatan 7|59693|MJÖLBY|0142-85345|http://www.mjolby.se/vux|infovux@mjolby.se|MJÖLBY KOMMUN|Karolina Hoff|Kommuner
Kommunal|2120000498|06|Jönköpings län|0604|Aneby|84781774|SFI|Box 53|57822|ANEBY|Skogsgatan 22|57832|ANEBY|0380-46100|http://www.aneby.se|ks@aneby.se|ANEBY KOMMUN|Benita Andersson|Kommuner
Kommunal|2120000506|06|Jönköpings län|0617|Gnosjö|82725092|Gnosjöandans kunskapsc. SFI|Fritidsvägen 4|33532|GNOSJÖ|Fritidsvägen 4|33532|GNOSJÖ|0370-331400|http://www.gkc.se|info@gkc.se|GNOSJÖ KOMMUN|Sven-Åke Falkeby|Kommuner
Kommunal|2120000514|06|Jönköpings län|0662|Gislaved|18509613|Gislaveds gymnasium/SFI|Gislegatan 1|33233|GISLAVED|Gislegatan 5|33233|GISLAVED|0371-81900|http://gisgym.gislaved.se|gislaveds.gymnasium@edu.gislaved.se|GISLAVEDS KOMMUN|Roland Andersson|Kommuner
Kommunal|2120000522|06|Jönköpings län|0665|Vaggeryd|27559580|Fenix kunskapscentrum/SFI|Box 180|56724|VAGGERYD|Verner Malmstens väg 1|56732|VAGGERYD|0393-678713|http://www.fenixkunskapscentrum.se|fenix@vaggeryd.se|VAGGERYDS KOMMUN|Kerstin Elfgaard-Boberg|Kommuner
Kommunal|2120000530|06|Jönköpings län|0680|Jönköping|97232735|SFI/Grundläggande vuxenutbildning|Kyrkogatan 1|55316|JÖNKÖPING|Kyrkogatan 1|55316|JÖNKÖPING|036-107061|http://www.jonkoping.se/vuxenutbildning|susanne.kristensson@jonkoping.se|JÖNKÖPINGS KOMMUN|Susanne Kristensson|Kommuner
Kommunal|2120000548|06|Jönköpings län|0682|Nässjö|35921642|MiROi I-learning AB|Nässjö kommun|57180|NÄSSJÖ|Framtidsvägen 1|57138|NÄSSJÖ|0380-517270|http://www.nlc.nassjo.se|larcenter@nassjo.se|NÄSSJÖ KOMMUN|Helen Tarenius|Kommuner
Kommunal|2120000548|06|Jönköpings län|0682|Nässjö|11284565|Nässjö lärcenter SFI|Nässjö kommun|57180|NÄSSJÖ|Framtidsvägen 1|57161|NÄSSJÖ|0380-517270|http://www.nlc.nassjo.se|larcenter@nassjo.se|NÄSSJÖ KOMMUN|Helen Tarenius|Kommuner
Kommunal|2120000555|06|Jönköpings län|0683|Värnamo|26825208|Komvux SFI|Västra skolan, Boagatan 2|33183|VÄRNAMO|Västra skolan, Boagatan 2|33130|VÄRNAMO|0370-377050|http://www.varnamo.se/utbildningbarnomsorg|Barn-och-utbildning@varnamo.se|VÄRNAMO KOMMUN|Inga-Lill E. Svanholm|Kommuner
