HUVUDMANNATYP|ORGANISATIONSNR|LÄN|LÄNSNAMN|KOMMUN|KOMMUNNAMN|SKOLENHETSKOD|NAMN|ADRESS|POSTNR|POSTORT|BESÖKSADRESS|BESÖKSPOSTNR|BESÖKSPOSTORT|TELENR|WEBB|EPOST|FKLASS|ÅR1|ÅR2|ÅR3|ÅR4|ÅR5|ÅR6|ÅR7|ÅR8|ÅR9|HUVUDMANS NAMN|REKTORS NAMN|ELEVAR FKLASS|ELEVER ÅR1|ELEVER ÅR2|ELEVER ÅR3|ELEVER ÅR4|ELEVER ÅR5|ELEVER ÅR6|ELEVER ÅR7|ELEVER ÅR8|ELEVER ÅR9|INRIKTNING|JURIDISK FORM
Enskild|5567243547|01|Stockholms län|0114|Upplands Väsby|60211862|Vikskolan|Box 5017|19405|UPPLANDS VÄSBY|Viravägen 4|19455|UPPLANDS VÄSBY|+46851067741|http://www.magnetica.se|info@magnetica.se|J|J|J|J|J|J|J|J|J|J|Magnetica Education AB|Annika Gustafson|43|40|46|41|34|38|22|10|17|7|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5564586716|01|Stockholms län|0114|Upplands Väsby|24374886|Vittra Väsby|Drabantvägen 3-5|19433|UPPLANDS VÄSBY|Drabantvägen 3-5|19433|UPPLANDS VÄSBY|08-59421360|http://www.vittra.se/vasby|vasby@vittra.se|J|J|J|J|J|J|J|J|J|J|Vittraskolorna AB|Anna Mellerby|37|31|47|56|42|36|31|37|24|19|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120000019|01|Stockholms län|0114|Upplands Väsby|31018677|Väsby skola|Skolvägen 11|19480|UPPLANDS VÄSBY|Skolvägen 11|19476|UPPLANDS VÄSBY|08-59097346|http://www.upplandsvasby.se/vasbyskola|vasbyskola@upplandsvasby.se|J|J|J|J|J|J|J|J|J|J|UPPLANDS VÄSBY KOMMUN|Hanna Thunholm|42|65|62|71|70|77|76|84|84|80||Kommuner
Enskild|5567812069|01|Stockholms län|0115|Vallentuna|48184058|Aktiviaskolan|Box 56|18621|VALLENTUNA|Fabriksvägen 1B|18632|VALLENTUNA|08-51240794|http://www.aktiviaskolan.se|info@aktiviaskolan.se|N|N|N|N|N|N|J|J|J|J|Aktivia AB|Mikael Turulin|0|0|0|0|0|0|0|5|5|11|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120000027|01|Stockholms län|0115|Vallentuna|52293921|Bällstabergsskolan|Box 29|18621|VALLENTUNA|Svampskogsvägen 28|18655|VALLENTUNA|08-58785620|http://www.skolor.vallentuna.se/ballstaberg/|ballstabergsskolan@vallentuna.se|J|J|J|J|J|J|J|J|J|J|VALLENTUNA KOMMUN|Marie-Louise Yllner Geuken|65|77|73|68|59|63|41|30|30|12||Kommuner
Kommunal|2120000027|01|Stockholms län|0115|Vallentuna|78821726|Ekebyskolan|Box 29|18621|VALLENTUNA|Teknikvägen 25|18632|VALLENTUNA|08-58785280|http://www.skolor.vallentuna.se/ekeby/|ekebyskolan@vallentuna.se|J|J|J|J|J|J|J|J|J|J|VALLENTUNA KOMMUN|Erik Byström|53|37|44|47|40|48|24|27|30|34||Kommuner
Kommunal|2120000027|01|Stockholms län|0115|Vallentuna|33565539|Gustav Vasaskolan|Box 29|18621|VALLENTUNA|Lindholmen|18694|VALLENTUNA|08-58784932|http://www.skolor.vallentuna.se/gustavvasa/|gustavvasaskolan@vallentuna.se|J|J|J|J|J|J|J|N|N|N|VALLENTUNA KOMMUN|Gunilla Jåfs|37|37|28|20|30|32|6|0|0|0||Kommuner
Kommunal|2120000027|01|Stockholms län|0115|Vallentuna|31772387|Hammarbacksskolan|Box 29|18621|VALLENTUNA|Ekebyvägen 2|18634|VALLENTUNA|08-58785250|http://www.skolor.vallentuna.se/hammarbacken/|hammarbacksskolan@vallentuna.se|J|J|J|J|J|J|J|J|J|J|VALLENTUNA KOMMUN|Jan Eriksson|50|43|48|47|48|51|42|51|55|51||Kommuner
Kommunal|2120000027|01|Stockholms län|0115|Vallentuna|16855764|Hjälmstaskolan|Box 29|18621|VALLENTUNA|Hjälmstavägen 1|18641|VALLENTUNA|08-58785220|http://www.skolor.vallentuna.se/hjalmsta/|hjalmstaskolan@vallentuna.se|J|J|J|J|J|J|J|J|J|J|VALLENTUNA KOMMUN|Carina Norberg|20|42|0|25|13|25|24|91|78|74||Kommuner
Enskild|5565092482|01|Stockholms län|0115|Vallentuna|20230739|IKASUS|Hjälmstavägen 2 A|18641|VALLENTUNA|Hjälmstavägen 2 A|18641|VALLENTUNA|010-1303000|http://www.frosunda.se|info@frosunda.se|J|J|J|J|N|J|J|J|J|J|Frösunda Omsorg AB|Birgitta Krantz|0|0|0|0|0|0|0|0|0|0|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120000027|01|Stockholms län|0115|Vallentuna|57370453|Karbyskolan|Box 29|18621|VALLENTUNA|Vadavägen 1|18670|BROTTBY|08-58785320|http://www.skolor.vallentuna.se/karby/|karbyskolan@vallentuna.se|J|J|J|J|J|J|J|J|J|J|VALLENTUNA KOMMUN|Elisabet Lotfi|33|41|27|37|30|51|25|20|17|36||Kommuner
Kommunal|2120000027|01|Stockholms län|0115|Vallentuna|34295441|Karlbergsskolan|Box 29|18621|VALLENTUNA|Lars Hårds väg 20|18641|VALLENTUNA|08-58785300|http://www.skolor.vallentuna.se/karlberg/|karlbergsskolan@vallentuna.se|J|J|J|J|J|J|J|N|N|N|VALLENTUNA KOMMUN|Karin Oldfield|42|49|44|38|32|39|8|0|0|0||Kommuner
Kommunal|2120000027|01|Stockholms län|0115|Vallentuna|84103650|Kårsta skola|Box 29|18621|VALLENTUNA|Bergsjövägen 1|18660|VALLENTUNA|08-58785364|http://www.skolor.vallentuna.se/karsta/|karstaskolan@vallentuna.se|J|J|J|J|J|J|J|N|N|N|VALLENTUNA KOMMUN|Jeanette Wass Andersson|14|15|15|15|6|13|8|0|0|0||Kommuner
Kommunal|2120000027|01|Stockholms län|0115|Vallentuna|29278599|Lovisedalsskolan|Box 29|18621|VALLENTUNA|Lovisedalsvägen 27|18653|VALLENTUNA|08-58785383|http://www.skolor.vallentuna.se/lovisedal/|lovisedalsskolan@vallentuna.se|J|J|J|J|J|J|J|J|J|J|VALLENTUNA KOMMUN|Erika Steorn|60|50|74|71|62|68|46|68|40|51||Kommuner
Kommunal|2120000027|01|Stockholms län|0115|Vallentuna|21336983|Ormstaskolan|Box 29|18621|VALLENTUNA|Blekingevägen 1|18634|VALLENTUNA|08-58785290|http://www.skolor.vallentuna.se/ormsta/|ormstaskolan@vallentuna.se|J|J|J|J|J|J|J|N|N|N|VALLENTUNA KOMMUN|Jonas Hård|48|54|78|64|86|48|57|0|0|0||Kommuner
Enskild|5565736187|01|Stockholms län|0115|Vallentuna|72378947|Vallentuna Friskola|Tellusvägen 40|18636|VALLENTUNA|Tellusvägen 40|18636|VALLENTUNA|08-51175920|http://www.vallentunafriskola.se|ulla.eklund@vallentunafriskola.se|N|N|N|N|N|N|J|J|J|J|VALLENTUNA FRISKOLA AB|Ulla Eklund|0|0|0|0|0|0|54|53|54|50|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5568591555|01|Stockholms län|0115|Vallentuna|71375812|Vallentuna internationella montessoriskola|Gamla Väsbyvägen 4|18631|VALLENTUNA|Gamla Väsbyvägen 4|18631|VALLENTUNA|08-40025575|http://www.vallentunaims.se|kontakt@vallentunaims.se|J|J|J|J|J|J|J|N|N|N|VIMS AB|Margareta Andersen|10|20|16|4|13|4|2|0|0|0|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5564586716|01|Stockholms län|0115|Vallentuna|46206050|Vittra Vallentuna|Zetterlunds väg 140|18654|VALLENTUNA|Zetterlunds väg 140|18654|VALLENTUNA|08-51444040|http://www.vittra.se/vallentuna|vallentuna@vittra.se|J|J|J|J|J|J|J|J|J|J|Vittraskolorna AB|Elin Möller|24|22|29|35|40|24|33|26|25|25|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5565895777|01|Stockholms län|0117|Österåker|10715898|Akers friskola F-9|Svampvägen 4|18438|ÅKERSBERGA|Svampvägen 4|18438|ÅKERSBERGA|08-54087089|http://www.akersfriskola.se|info@akersfriskola.se|J|J|J|J|J|J|J|J|J|J|ÖSTERÅKERS FRISKOLA AB|Martin Andersson|25|24|24|24|27|24|24|25|24|23|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120002890|01|Stockholms län|0117|Österåker|97024653|Bergsättraskolan||18486|ÅKERSBERGA|Sjöfågelvägen 1 B|18461|ÅKERSBERGA|08-54081045|http://www.osteraker.se|bergsattraskolan@osteraker.se|J|J|J|J|N|N|N|N|N|N|ÖSTERÅKERS KOMMUN|Helena Edström|47|27|51|57|0|0|0|0|0|0||Kommuner
Enskild|5567317416|01|Stockholms län|0117|Österåker|43869172|Fredsborgskolan|Box 110|18422|ÅKERSBERGA|Företagsallén 14|18440|ÅKERSBERGA|08-54060800|http://www.fredsborgskolan.se|jenny.arnstrom@fredsborgskolan.se|J|J|J|J|J|J|J|J|J|J|Lära i Österåker AB|Jenny Arnström|46|43|44|46|47|45|76|73|54|17|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5567357073|01|Stockholms län|0117|Österåker|61364360|Korallens Friskola|Box 625|18427|ÅKERSBERGA|Bergavägen 21 |18431|ÅKERSBERGA|070-7599800|http://www.korallensfriskola.se|solveig.karlsson@korallensfriskola.se|J|J|J|J|J|J|J|J|J|J|Korallens Friskola AB|Evelyn Ljungström|24|18|22|24|17|17|9|0|0|0|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120002890|01|Stockholms län|0117|Österåker|53319802|Ljusterö skola|Mellansjövägen 60 A|18495|LJUSTERÖ|Mellansjövägen 60 A|18495|LJUSTERÖ|08-54081187|http://www.osteraker.se|ljusteroskola@osteraker.se|J|J|J|J|J|J|J|J|J|J|ÖSTERÅKERS KOMMUN|Jonas Bolander|11|8|9|10|14|10|13|7|9|7||Kommuner
Kommunal|2120002890|01|Stockholms län|0117|Österåker|31758556|Margretelundsskolan||18486|ÅKERSBERGA|Manfred Bondes väg 5|18462|ÅKERSBERGA|08-54081936|http://www.osteraker.se|margretelundsskolan@osteraker.se|J|J|J|J|J|J|J|N|N|N|ÖSTERÅKERS KOMMUN|Maria Filipsson|47|68|78|80|69|98|68|0|0|0||Kommuner
Enskild|5567026454|01|Stockholms län|0117|Österåker|22738124|Prolympia, Åkersberga|Hackstavägen 31-41|18432|ÅKERSBERGA|Hackstavägen 31-41|18432|ÅKERSBERGA|08-68406950|http://www.prolympia.se|akersberga@prolympia.se|N|N|N|N|J|J|J|J|J|J|Prolympia AB|Magdalena Stare|0|0|0|0|22|20|47|65|53|76|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120002890|01|Stockholms län|0117|Österåker|58653522|Roslags Kulla skola||18486|ÅKERSBERGA|Rialavägen 4|18491|ÅKERSBERGA|08-54081102|http://www.osteraker.se|roslagskullaskola@osteraker.se|J|J|J|J|J|J|J|N|N|N|ÖSTERÅKERS KOMMUN|Jonas Bolander|12|11|10|12|9|3|0|0|0|0||Kommuner
Enskild|5565934055|01|Stockholms län|0117|Österåker|73083470|Rydbo friskola|Ådalsvägen 1|18494|ÅKERSBERGA|Ådalsvägen 1|18494|ÅKERSBERGA|08-7329295|http://www.rydbofriskola.se|info@rydbofriskola.se|J|J|J|J|J|N|N|N|N|N|RYDBO FRISKOLA AKTIEBOLAG|Ingela Gardner |16|27|10|20|1|3|0|0|0|0|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120002890|01|Stockholms län|0117|Österåker|72074288|Rydbo skola||18486|ÅKERSBERGA|von Essens väg|18492|ÅKERSBERGA|08-54081423|http://www.osteraker.se|rydboskola@osteraker.se|J|J|J|J|J|J|J|N|N|N|ÖSTERÅKERS KOMMUN|Eva Naumburg|31|24|26|32|35|21|6|0|0|0||Kommuner
Kommunal|2120002890|01|Stockholms län|0117|Österåker|23756252|Sjökarbyskolan||18486|ÅKERSBERGA|Sjökarbyvägen 24|18434|ÅKERSBERGA|08-54081890|http://www.osteraker.se|sjokarbyskolan@osteraker.se|J|J|J|J|J|J|J|N|N|N|ÖSTERÅKERS KOMMUN|Ami Josefsson|54|58|49|76|49|46|42|0|0|0||Kommuner
Kommunal|2120002890|01|Stockholms län|0117|Österåker|73272488|Skärgårdsstadsskolan||18486|ÅKERSBERGA|Tre Gruvors väg 1|18470|ÅKERSBERGA|08-54081577|http://www.osteraker.se|skargardsstadsskolan@osteraker.se|J|J|J|J|J|J|J|J|J|J|ÖSTERÅKERS KOMMUN|Åsa Häger|49|46|51|50|49|53|48|50|47|42||Kommuner
Enskild|5567028799|01|Stockholms län|0117|Österåker|77701262|Solbackens Montessori|Bergvägen 21|18430|ÅKERSBERGA|Bergvägen 21|18430|ÅKERSBERGA|08-12144150|http://www.solbackensmontessori.se|skola@solbackensmontessori.se|J|J|J|J|J|J|J|N|N|N|La Mucca Montessori AB|Ann Ehrson|12|13|12|10|6|7|0|0|0|0|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120002890|01|Stockholms län|0117|Österåker|82624830|Solskiftesskolan||18486|ÅKERSBERGA|Solskiftesvägen 8|18433|ÅKERSBERGA|08-54081871|http://www.osteraker.se|solskiftesskolan@osteraker.se|N|N|N|N|J|J|J|J|J|J|ÖSTERÅKERS KOMMUN|Henrik Kempe|0|0|0|0|52|53|60|76|86|79||Kommuner
Kommunal|2120002890|01|Stockholms län|0117|Österåker|88712672|Söraskolan||18486|ÅKERSBERGA|Luffarbacken 82|18437|ÅKERSBERGA|08-54081772|http://www.osteraker.se|soraskolan@osteraker.se|J|J|J|J|J|J|J|J|J|J|ÖSTERÅKERS KOMMUN|Irene Georgellis|86|72|71|69|56|65|66|76|71|71||Kommuner
Kommunal|2120002890|01|Stockholms län|0117|Österåker|51305351|Tråsättraskolan||18486|ÅKERSBERGA|Sjöfågelvägen 1|18461|ÅKERSBERGA|08-54081933|http://www.osteraker.se|trasattraskolan@osteraker.se|N|N|N|N|J|J|J|J|J|J|ÖSTERÅKERS KOMMUN|Anna Zaar|0|0|0|0|39|35|30|93|83|78||Kommuner
Kommunal|2120002890|01|Stockholms län|0117|Österåker|19704413|Åkerstorpsskolan||18486|ÅKERSBERGA|Trevebovägen 122|18432|ÅKERSBERGA|08-54081916|http://www.osteraker.se|akerstorpsskolan@osteraker.se|J|J|J|J|N|N|N|N|N|N|ÖSTERÅKERS KOMMUN|Marie Engström|54|53|52|47|0|0|0|0|0|0||Kommuner
Kommunal|2120002890|01|Stockholms län|0117|Österåker|94113162|Österskärsskolan||18486|ÖSTERSKÄR|Tunavägen 8|18451|ÖSTERSKÄR|08-54081864|http://www.osteraker.se|osterskarsskolan@osteraker.se|J|J|J|J|J|J|J|N|N|N|ÖSTERÅKERS KOMMUN|Thordis Sjöstrand|54|71|73|80|62|73|18|0|0|0||Kommuner
Enskild|5566229851|01|Stockholms län|0120|Värmdö|67926479|Antistilla skola|Toivovägen 8|13432|GUSTAVSBERG|Toivovägen 8|13432|GUSTAVSBERG|08-57032070|http://www.antistilla.se|a.edin@antistilla.se|J|J|J|J|N|N|N|N|N|N|ANTISTILLA AB|Annika Edin|15|16|25|15|0|0|0|0|0|0|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120000035|01|Stockholms län|0120|Värmdö|42434583|Brunns skola|Värmdö kommun|13481|GUSTAVSBERG|Brunn centrum|13430|INGARÖ|08-57048400|http://www.varmdo.se|brunnsskola@varmdo.se|J|J|J|J|J|J|J|J|J|J|VÄRMDÖ KOMMUN|Ulrika Görtz Wetterlund|38|51|46|64|78|92|70|85|71|57||Kommuner
Kommunal|2120000035|01|Stockholms län|0120|Värmdö|60624757|Farstavikens skola|Bergsgatan|13441|GUSTAVSBERG|Bergsgatan och Höjdhagsvägen|13441|GUSTAVSBERG|08-57048941|http://www.varmdo.se|kvarnberget@varmdo.se|J|J|J|J|J|J|J|J|J|J|VÄRMDÖ KOMMUN|Birgitta Ulvered|77|47|74|69|72|75|79|71|76|84||Kommuner
Kommunal|2120000035|01|Stockholms län|0120|Värmdö|25090415|Fågelvik skola|Värmdö kommun|13481|INGARÖ|Ulrikavägen 6|13462|INGARÖ|08-57048370|http://www.varmdo.se|fagelviksskola@varmdo.se|J|J|J|J|N|N|N|N|N|N|VÄRMDÖ KOMMUN|Monica Hjerpe|30|45|34|59|0|0|0|0|0|0||Kommuner
Enskild|8140009518|01|Stockholms län|0120|Värmdö|63682476|Grantomta Montessoriskola|Viks Skolväg 13|13935|VÄRMDÖ|Viks Skolväg 13|13935|VÄRMDÖ|08-57017701|http://www.grantomta.se|exp@grantomta.se|J|J|J|J|J|J|J|N|N|N|GRANTOMTA MONTESSORISTIFTELSE|Titti Janewret|33|36|29|38|23|29|3|0|0|0|Allmän|Övriga stiftelser och fonder, inkl pensionsstiftelser och personalstiftelser
Kommunal|2120000035|01|Stockholms län|0120|Värmdö|24561769|Hemmestaskolan|Värmdö kommun|13481|GUSTAVSBERG|Motionsvägen 4|13932|VÄRMDÖ|08-57048715|http://www.varmdo.se|hemmestaskolan@hemmestaskolan.se|J|J|J|J|J|J|J|J|J|J|VÄRMDÖ KOMMUN|Kaj Majuri|86|64|67|72|78|68|85|160|121|110||Kommuner
Kommunal|2120000035|01|Stockholms län|0120|Värmdö|89005271|Kullsvedsskolan|Värmdö kommun|13481|GUSTAVSBERG|Motionsvägen 9|13932|VARMDÖ|08-57048774|http://www.varmdo.se|sarskolan@varmdo.se|J|J|J|J|J|J|J|J|J|J|VÄRMDÖ KOMMUN|Christina Söderkvist|0|0|0|0|0|0|0|0|0|0||Kommuner
Kommunal|2120000035|01|Stockholms län|0120|Värmdö|67362048|Kullsvedsskolan, Grundskola|Värmdö kommun|13481|GUSTAVSBERG|Motionsvägen 9|13932|VÄRMDÖ|08-57048774|http://www.varmdo.se|sarskolan@varmdo.se|N|J|J|J|J|J|J|J|J|J|VÄRMDÖ KOMMUN|Christina Söderkvist|0|3|3|6|3|1|1|3|0|1||Kommuner
Kommunal|2120000035|01|Stockholms län|0120|Värmdö|70803136|Kyrkskolan|Värmdö kommun|13481|GUSTAVSBERG|Klockargården|13935|VÄRMDÖ|08-57024891|http://www.varmdo.se|kyrkskolan@varmdo.se|J|J|J|J|N|N|N|N|N|N|VÄRMDÖ KOMMUN|Helene Jägestedt|24|24|25|18|0|0|0|0|0|0||Kommuner
Enskild|8024007075|01|Stockholms län|0120|Värmdö|11364996|Lemshaga Akademi||13461|INGARÖ|Lemshaga Säteri|13461|INGARÖ|08-58631300|http://www.lemshaga.se|expedition@lemshaga.se|J|J|J|J|J|J|J|J|J|J|LEMSHAGASTIFTELSEN|Anna-Lena Bengtsson|36|36|36|36|48|47|51|52|51|52|Allmän|Övriga stiftelser och fonder, inkl pensionsstiftelser och personalstiftelser
Kommunal|2120000035|01|Stockholms län|0120|Värmdö|47705565|Munkmoraskolan|Värmdö kommun|13481|GUSTAVSBERG|Meitens väg 6|13435|GUSTAVSBERG|08-57033257|http://www.varmdo.se|munkmoraskolan@varmdo.se|J|J|J|J|N|N|N|N|N|N|VÄRMDÖ KOMMUN|Birgitta Wallin|28|37|37|32|0|0|0|0|0|0||Kommuner
Enskild|5565934279|01|Stockholms län|0120|Värmdö|87412084|Skolan Lär|Kyrkogårdsvägen 4|13443|GUSTAVSBERG|Kyrkogårdsvägen 4|13443|GUSTAVSBERG|08-57033381|http://www.skolanlar.nu|info@skolanlar.nu|J|J|J|J|J|J|N|N|N|N|LÄR I VÄRMDÖ AB|Tove Ryman|25|24|25|25|25|17|0|0|0|0|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120000035|01|Stockholms län|0120|Värmdö|94902263|Viks skola|Värmdö kommun|13481|GUSTAVSBERG|Viks Skolväg 10|13935|VÄRMDÖ|08-57047700|http://www.varmdo.se|viksskola@varmdo.se|J|J|J|J|J|J|J|N|N|N|VÄRMDÖ KOMMUN|Agneta Jonzon|77|97|99|123|91|81|89|0|0|0||Kommuner
Kommunal|2120000035|01|Stockholms län|0120|Värmdö|77630712|Värmdö Skärgårdsskola|Sollenkrokavägen 41|13973|DJURHAMN|Sollenkrokavägen 41|13973|DJURHAMN|08-57048600|http://www.varmdo.se|varmdoskargardsskola@varmdo.se|J|J|J|J|J|J|J|J|J|J|VÄRMDÖ KOMMUN|Lena Möllersten|42|40|42|48|35|41|53|44|38|27||Kommuner
Kommunal|2120000035|01|Stockholms län|0120|Värmdö|88283203|Ösbyskolan|Ösby skolväg 4|13443|GUSTAVSBERG|Ösby skolväg 4|13443|GUSTAVSBERG|08-57048800|http://www.varmdo.se|osbyskolan@varmdo.se|J|J|J|J|J|J|J|J|J|J|VÄRMDÖ KOMMUN|Åsa Gustafsson|78|72|87|76|78|77|68|76|81|68||Kommuner
Kommunal|2120000043|01|Stockholms län|0123|Järfälla|88454421|Aspnässkolan|Birgittavägen 21|17731|JÄRFÄLLA|Birgittavägen 21|17731|JÄRFÄLLA|08-58029402|http://www.jarfalla.se|aspnasskolan@jarfalla.se|J|J|J|J|J|J|J|N|N|N|JÄRFÄLLA KOMMUN|Lennart Bucht|43|38|38|47|28|52|0|0|0|0||Kommuner
Kommunal|2120000043|01|Stockholms län|0123|Järfälla|76033436|Barkarbyskolan|Veddestavägen 3|17562|JÄRFÄLLA|Veddestavägen 3|17562|JÄRFÄLLA|08-58029935|http://www.jarfalla.se|barkarbyskolan@jarfalla.se|J|J|J|J|J|J|N|N|N|N|JÄRFÄLLA KOMMUN|Rickard Ernfors|60|63|70|62|56|59|0|0|0|0||Kommuner
